City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
119,penafiel,41.2084,-8.2829,22.41,58,5,2.47,PT,23-07-18
120,ashchysay,43.5542,68.8889,22.82,40,33,2.98,KZ,23-07-18
121,laojunmiao,39.8333,97.7333,22.26,30,99,5.33,CN,23-07-18
122,kone,-21.0595,164.8658,19.78,87,100,2.15,NC,23-07-18
123,kapa'a,22.0752,-159.319,26.79,70,20,8.75,US,23-07-18
124,howrah,22.5892,88.3103,28.0,94,40,2.57,IN,23-07-18
125,la paz,-16.5,-68.15,16.99,20,20,5.66,BO,23-07-18
126,malvan,16.0667,73.4667,25.84,86,100,7.23,IN,23-07-18
127,ocean city,39.2776,-74.5746,27.82,80,28,4.44,US,23-07-18
128,keflavik,64.0049,-22.5624,12.24,71,0,8.75,IS,23-07-18
129,longyearbyen,78.2186,15.6401,9.91,57,75,4.63,SJ,23-07-18
130,colonia,50.9333,6.95,23.48,46,0,1.54,DE,23-07-18
131,franceville,-1.6333,13.5836,28.43,50,90,1.59,GA,23-07-18
132,bonthe,7.5264,-12.505,25.09,89,100,4.02,SL,23-07-18
133,susuman,62.7833,148.1667,14.72,65,99,0.84,RU,23-07-18
134,mariental,-24.6333,17.9667,17.98,17,0,3.75,NA,23-07-18
135,ghadamis,30.1337,9.5007,36.19,11,0,5.08,LY,23-07-18
136,nirmal,19.1,78.35,23.13,93,100,8.44,IN,23-07-18
137,huarmey,-10.0681,-78.1522,23.65,65,8,5.02,PE,23-07-18
138,puerto ayora,-0.7393,-90.3518,26.97,87,76,3.58,EC,23-07-18
139,la passe,45.5549,-0.8967,20.08,64,0,6.59,FR,23-07-18
140,weno,7.4515,151.8468,24.97,94,100,1.54,FM,23-07-18
141,lihue,21.9789,-159.3672,27.7,67,20,8.75,US,23-07-18
142,gobabis,-22.45,18.9667,12.45,26,0,3.88,NA,23-07-18
143,quibdo,5.6947,-76.6611,32.19,70,40,2.06,CO,23-07-18
144,zaozersk,69.4005,32.4476,16.56,76,100,2.24,RU,23-07-18
145,antofagasta,-23.65,-70.4,17.6,62,4,3.51,CL,23-07-18
146,maragogi,-9.0122,-35.2225,25.65,79,0,4.43,BR,23-07-18
147,ulsteinvik,62.3432,5.8487,13.38,77,100,8.05,NO,23-07-18
148,codrington,-38.2667,141.9667,4.25,88,44,2.41,AU,23-07-18
149,lebu,-37.6167,-73.65,12.61,54,100,5.68,CL,23-07-18
150,puerto deseado,-47.7503,-65.8938,5.67,62,3,7.31,AR,23-07-18
151,sao felix do xingu,-6.6447,-51.995,36.15,20,7,2.39,BR,23-07-18
152,port mathurin,-19.6833,63.4167,23.5,82,100,11.34,MU,23-07-18
153,namibe,-15.1961,12.1522,20.0,70,0,1.09,AO,23-07-18
154,inverell,-29.7833,151.1167,6.81,90,0,2.11,AU,23-07-18
155,horta,38.5333,-28.6333,22.23,75,20,2.24,PT,23-07-18
156,bredasdorp,-34.5322,20.0403,11.22,74,51,8.57,ZA,23-07-18
157,ribeira grande,38.5167,-28.7,23.22,73,20,2.24,PT,23-07-18
158,anna regina,7.2644,-58.5077,29.22,64,4,3.86,GY,23-07-18
159,severo-yeniseyskiy,60.3725,93.0408,10.72,70,100,1.02,RU,23-07-18
160,taulaga,-11.0553,-171.0883,27.66,76,100,3.89,AS,23-07-18
161,lazaro cardenas,17.9583,-102.2,32.57,56,100,5.05,MX,23-07-18
162,metropolis,37.1512,-88.732,22.1,88,100,2.06,US,23-07-18
163,novyy urengoy,66.0833,76.6333,16.82,63,6,4.45,RU,23-07-18
164,port elizabeth,-33.918,25.5701,15.16,82,40,9.26,ZA,23-07-18
165,bolu,40.6667,31.5833,15.79,81,0,0.67,TR,23-07-18
166,qom,34.6401,50.8764,27.25,40,0,4.76,IR,23-07-18
167,ancud,-41.8697,-73.8203,6.77,89,100,6.9,CL,23-07-18
168,norilsk,69.3535,88.2027,12.84,83,100,7.67,RU,23-07-18
169,waddan,29.1614,16.139,32.43,30,0,9.22,LY,23-07-18
170,papao,-17.75,-149.55,27.82,74,78,9.29,PF,23-07-18
171,basti,26.8,82.7167,28.83,71,100,3.55,IN,23-07-18
172,hobyo,5.3505,48.5268,25.1,84,44,11.92,SO,23-07-18
173,napili-honokowai,20.9708,-156.6705,27.61,72,27,8.24,US,23-07-18
174,kushiro,42.975,144.3747,14.73,97,100,1.27,JP,23-07-18
175,dunedin,-45.8742,170.5036,7.29,79,100,2.56,NZ,23-07-18
176,celestun,20.8667,-90.4,32.09,62,5,6.33,MX,23-07-18
177,donggongon,5.907,116.1015,24.96,94,40,6.69,MY,23-07-18
178,ardabil,38.2498,48.2933,13.75,88,75,6.17,IR,23-07-18
179,scarborough,54.2797,-0.4044,13.91,88,100,2.35,GB,23-07-18
180,wotho,10.1657,166.0102,28.46,77,19,6.1,MH,23-07-18
181,labasa,-16.4167,179.3833,22.6,87,100,4.88,FJ,23-07-18
182,linxia chengguanzhen,35.6003,103.2064,15.03,69,0,1.66,CN,23-07-18
183,minas de marcona,-15.2119,-75.1103,17.95,57,3,5.19,PE,23-07-18
184,bandundu,-3.3167,17.3667,29.52,25,6,0.98,CD,23-07-18
185,porto novo,6.4965,2.6036,26.9,87,87,4.02,BJ,23-07-18
186,barcelos,41.5388,-8.6151,22.67,70,4,3.18,PT,23-07-18
187,kaiapoi,-43.3783,172.6401,0.19,100,0,1.03,NZ,23-07-18
188,holualoa,19.6228,-155.9522,25.43,70,40,2.68,US,23-07-18
189,fayetteville,35.0527,-78.8784,34.42,45,0,0.89,US,23-07-18
190,penukonda,14.0833,77.5833,23.9,69,100,10.19,IN,23-07-18
191,alice springs,-23.7,133.8833,4.75,81,0,2.57,AU,23-07-18
192,san luis de la loma,17.2706,-100.8939,32.45,57,45,3.8,MX,23-07-18
193,antalaha,-14.9003,50.2788,20.84,89,67,3.6,MG,23-07-18
194,klaksvik,62.2266,-6.589,9.51,84,100,12.56,FO,23-07-18
195,nhamunda,-2.1861,-56.7131,35.39,35,42,1.92,BR,23-07-18
196,tralee,52.2704,-9.7026,15.32,89,67,4.33,IE,23-07-18
197,chonchi,-42.6128,-73.8092,7.29,86,100,3.05,CL,23-07-18
198,byron bay,-28.65,153.6167,12.06,91,17,4.19,AU,23-07-18
199,yuzhno-kurilsk,44.0306,145.8556,13.16,94,99,0.54,RU,23-07-18
200,birjand,32.8663,59.2211,26.26,25,0,3.09,IR,23-07-18
201,kas,36.2018,29.6377,29.59,37,0,2.77,TR,23-07-18
202,kuybyshevo,47.8123,38.9073,21.87,57,100,2.52,RU,23-07-18
203,arona,28.0996,-16.681,21.36,70,20,8.23,ES,23-07-18
204,guozhen,34.3659,107.359,22.71,67,46,0.98,CN,23-07-18
205,klyuchi,52.2667,79.1667,19.48,49,100,3.23,RU,23-07-18
206,fuling,29.7022,107.3919,24.71,82,100,0.98,CN,23-07-18
207,oistins,13.0667,-59.5333,28.16,76,74,6.95,BB,23-07-18
208,smara,26.7384,-11.6719,35.87,26,11,7.91,EH,23-07-18
209,itoman,26.1247,127.6694,28.01,83,20,4.12,JP,23-07-18
210,satipo,-11.2522,-74.6386,27.65,64,19,1.43,PE,23-07-18
211,nangwa,-4.4667,35.45,13.55,55,1,2.73,TZ,23-07-18
212,kidal,18.4411,1.4078,37.78,18,36,4.39,ML,23-07-18
213,carutapera,-1.195,-46.02,28.73,70,48,4.94,BR,23-07-18
214,santa rosalia,27.3167,-112.2833,34.35,45,13,2.95,MX,23-07-18
215,oume,35.7839,139.2431,25.22,82,0,2.06,JP,23-07-18
216,nakamura,32.9833,132.9333,25.21,95,98,2.02,JP,23-07-18
217,guercif,34.2257,-3.3536,36.9,24,0,7.57,MA,23-07-18
218,wailua homesteads,22.0669,-159.378,26.12,72,20,8.75,US,23-07-18
219,kilindoni,-7.9139,39.6668,25.14,79,11,7.27,TZ,23-07-18
220,jayapura,-2.5333,140.7,24.66,92,91,2.21,ID,23-07-18
221,petropavlovsk-kamchatsky,53.0452,158.6483,11.33,100,0,1.0,RU,23-07-18
222,kyren,51.6828,102.1408,12.9,93,82,0.12,RU,23-07-18
223,morehead city,34.7229,-76.726,31.2,67,0,4.12,US,23-07-18
224,hamilton,39.1834,-84.5333,29.51,70,40,3.6,US,23-07-18
225,hadibu,12.65,54.0333,25.49,77,15,9.73,YE,23-07-18
226,kapuskasing,49.4169,-82.4331,18.0,72,75,5.66,CA,23-07-18
227,xai-xai,-25.0519,33.6442,17.46,74,0,3.11,MZ,23-07-18
228,bairnsdale,-37.8333,147.6167,7.81,80,22,4.07,AU,23-07-18
229,revelstoke,50.9832,-118.2023,22.01,56,20,1.03,CA,23-07-18
230,san bernardo del viento,9.3533,-75.9524,29.4,75,97,2.49,CO,23-07-18
231,pitomaca,45.9506,17.2294,25.49,65,99,2.7,HR,23-07-18
232,margate,51.3813,1.3862,20.13,62,52,1.79,GB,23-07-18
233,kamloops,50.6665,-120.3192,23.65,47,20,1.54,CA,23-07-18
234,koungou,-12.7336,45.2042,22.84,88,0,1.54,YT,23-07-18
235,moree,-29.4667,149.85,9.94,84,5,3.47,AU,23-07-18
236,artemovskiy,57.3555,61.8686,15.48,100,100,1.12,RU,23-07-18
237,port saint john's,-31.6229,29.5448,20.71,47,0,2.33,ZA,23-07-18
238,vandalia,39.8906,-84.1988,27.1,69,75,3.6,US,23-07-18
239,besisahar,28.2313,84.3761,24.89,78,100,1.42,NP,23-07-18
240,richards bay,-28.783,32.0377,19.83,42,0,3.84,ZA,23-07-18
241,santo antonio,-6.3106,-35.4789,27.18,64,79,7.06,BR,23-07-18
242,turgen,43.4006,77.5933,23.07,35,2,3.95,KZ,23-07-18
243,sao geraldo do araguaia,-6.4006,-48.555,36.92,20,7,1.84,BR,23-07-18
244,maracacume,-2.0428,-45.9592,27.4,69,100,1.53,BR,23-07-18
245,marvejols,44.5538,3.2914,24.54,66,21,1.6,FR,23-07-18
246,pyay,18.8167,95.2167,25.9,78,89,2.04,MM,23-07-18
247,bardai,11.65,7.2333,28.69,53,100,1.74,NG,23-07-18
248,nchelenge,-9.3451,28.734,20.18,55,3,1.35,ZM,23-07-18
249,bodo,67.28,14.405,13.19,91,75,1.79,NO,23-07-18
250,yuxia,34.0615,108.6291,25.34,67,9,2.9,CN,23-07-18
251,newman,37.3138,-121.0208,35.86,9,2,2.69,US,23-07-18
252,baiti,13.745,-14.7482,29.7,70,100,2.44,SN,23-07-18
253,geraldton,-28.7667,114.6,17.23,82,75,10.29,AU,23-07-18
254,tamanrasset,22.785,5.5228,33.95,11,0,4.12,DZ,23-07-18
255,steinbach,50.1667,8.5667,24.4,38,0,2.57,DE,23-07-18
256,pingnan,23.5543,110.3976,24.38,97,96,1.98,CN,23-07-18
257,itaituba,-4.2761,-55.9836,35.09,52,20,2.57,BR,23-07-18
258,beyneu,45.3167,55.2,24.26,44,0,5.23,KZ,23-07-18
259,gamay,12.3854,125.2979,25.01,91,100,2.26,PH,23-07-18
260,ust'-ilimsk,58.0006,102.6619,11.55,71,1,0.62,RU,23-07-18
